Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Labrador Retriever,Canada,Yellow,21,Brown,10,Loyal,Hip dysplasia
German Shepherd,Germany,Black,22,Brown,7,Loyal,Hip dysplasia
Bulldog,England,White,12,Brown,8,Loyal,Skin allergies
Poodle,France,White,10,Brown,12,Intelligent,Hip dysplasia
Beagle,England,White,13,Brown,12,Curious,Ear infections
Chihuahua,Mexico,Black,6,Brown,12,Loyal,Dental problems
Boxer,Germany,Fawn,21,Brown,10,Loyal,Hip dysplasia
Golden Retriever,Scotland,Golden,21,Brown,10,Intelligent,Hip dysplasia
Pug,China,Fawn,10,Brown,12,Loyal,Eye problems
Rottweiler,Germany,Black,22,Brown,8,Loyal,Hip dysplasia
Siberian Husky,Russia,Black,21,Blue,12,Independent,Hip dysplasia
Dachshund,Germany,Black,5,Brown,12,Loyal,Intervertebral disc disease
Shih Tzu,China,Black,9,Brown,10,Affectionate,Dental problems
Bichon Frise,France,White,9,Brown,12,Playful,Dental problems
Australian Shepherd,Australia,Black,18,Brown,12,Intelligent,Hip dysplasia
Basset Hound,France,Black,11,Brown,10,Affectionate,Dental problems
Cocker Spaniel,England,Black,14,Brown,12,Affectionate,Ear infections
French Bulldog,France,White,11,Brown,10,Affectionate,Breathing problems
Pomeranian,Germany,Orange,6,Brown,12,Playful,Dental problems
Great Dane,Germany,Black,28,Brown,8,Gentle,Hip dysplasia
Mastiff,England,Apricot,30,Brown,8,Loyal,Hip dysplasia
Newfoundland,Canada,Black,26,Brown,9,Loyal,Hip dysplasia
Saint Bernard,Switzerland,Red,26,Brown,8,Loyal,Hip dysplasia
Old English Sheepdog,England,Blue,22,Brown,10,Gentle,Hip dysplasia
Irish Wolfhound,Ireland,Grey,30,Brown,6,Gentle,Hip dysplasia
Greyhound,England,Black,26,Brown,10,Intelligent,Hip dysplasia
Scottish Deerhound,Scotland,Blue,28,Brown,8,Gentle,Hip dysplasia
Great Pyrenees,France,White,25,Brown,10,Loyal,Hip dysplasia
Shar Pei,China,Cream,18,Brown,8,Independent,Skin allergies
Doberman Pinscher,Germany,Black,24,Brown,10,Loyal,Hip dysplasia
Weimaraner,Germany,Silver,25,Blue,10,Energetic,Hip dysplasia
Belgian Malinois,Belgium,Fawn,22,Brown,12,Intelligent,Hip dysplasia
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25,Brown,10,Intelligent,Hip dysplasia
English Setter,England,Black,23,Brown,12,Intelligent,Hip dysplasia
Pointer,England,Black,21,Brown,12,Intelligent,Hip dysplasia
Gordon Setter,Scotland,Black,23,Brown,12,Intelligent,Hip dysplasia
Irish Setter,Ireland,Red,24,Brown,12,Intelligent,Hip dysplasia
Papillon,France,White,8,Brown,14,Intelligent,Dental problems
Pekingese,China,Black,6,Brown,12,Independent,Dental problems
Toy Poodle,France,White,10,Brown,12,Intelligent,Hip dysplasia
Miniature Poodle,France,White,10,Brown,12,Intelligent,Hip dysplasia
Standard Poodle,France,White,15,Brown,12,Intelligent,Hip dysplasia
Affenpinscher,Germany,Black,9,Brown,12,Intelligent,Dental problems
Boston Terrier,United States,Black,15,Brown,11,Intelligent,Eye problems
Brussels Griffon,Belgium,Black,7,Brown,12,Intelligent,Dental problems
Cairn Terrier,Scotland,Black,10,Brown,12,Intelligent,Dental problems
Chinese Crested,China,Pink,11,Brown,13,Intelligent,Dental problems
Miniature Schnauzer,Germany,Black,12,Brown,12,Intelligent,Dental problems
Standard Schnauzer,Germany,Black,18,Brown,12,Intelligent,Dental problems
West Highland White Terrier,Scotland,White,11,Brown,12,Intelligent,Dental problems
Australian Terrier,Australia,Red,10,Brown,12,Intelligent,Dental problems
Border Terrier,England,Red,10,Brown,12,Intelligent,Dental problems
Coton de Tulear,Madagascar,White,9,Brown,12,Intelligent,Dental problems
English Toy Spaniel,England,White,10,Brown,12,Intelligent,Dental problems
Australian Stumpy Tail Cattle Dog,Australia,Red,17,Brown,12,Intelligent,Dental problems
Pug,China,Black,10,Brown,12,Intelligent,Dental problems
American Eskimo Dog,United States,White,15,Brown,12,Intelligent,Dental problems
Australian Cattle Dog,Australia,Blue,17,Brown,12,Intelligent,Dental problems
Basset Hound,France,Black,11,Brown,10,Gentle,Dental problems
Australian Kelpie,Australia,Red,17,Brown,12,Intelligent,Dental problems
Bloodhound,England,Red,22,Brown,10,Loyal,Dental problems
Border Collie,England,Black,18,Brown,12,Intelligent,Dental problems
Australian Shepherd,Australia,Blue Merle,20,Brown,12,Intelligent,Dental problems
American Bulldog,United States,White,20,Brown,10,Loyal,Dental problems
Australian Shepherd,Australia,Black,18,Brown,12,Intelligent,Dental problems
Borzoi,Russia,White,26,Brown,10,Gentle,Dental problems
Bull Terrier,England,White,20,Brown,10,Loyal,Dental problems
Cane Corso,Italy,Black,22,Brown,10,Loyal,Dental problems
Cardigan Welsh Corgi,Wales,Red,10,Brown,12,Intelligent,Dental problems
Chesapeake Bay Retriever,United States,Brown,21,Brown,12,Intelligent,Dental problems
Saluki,Middle East,Cream,23,Brown,12,Intelligent,Dental problems
English Setter,England,Liver,25,Brown,12,Intelligent,Dental problems
English Springer Spaniel,England,Black,20,Brown,12,Intelligent,Dental problems
Field Spaniel,England,Black,15,Brown,12,Intelligent,Dental problems
Finnish Spitz,Finland,Red,15,Brown,12,Intelligent,Dental problems
Flat,England,Black,22,Brown,12,Intelligent,Dental problems
Australian Terrier,Australia,Red,10,Brown,12,Intelligent,Dental problems
Giant Schnauzer,Germany,Black,25,Brown,10,Loyal,Dental problems
Golden Retriever,Scotland,Gold,21,Brown,12,Intelligent,Dental problems
Gordon Setter,Scotland,Black,24,Brown,12,Intelligent,Dental problems
Australian Cattle Dog,Australia,Blue,17,Brown,12,Intelligent,Dental problems
Greyhound,England,White,26,Brown,10,Intelligent,Dental problems
Harrier,England,Red,18,Brown,12,Intelligent,Dental problems
Irish Setter,Ireland,Red,26,Brown,12,Intelligent,Dental problems
Irish Terrier,Ireland,Red,14,Brown,12,Intelligent,Dental problems
Irish Water Spaniel,Ireland,Brown,21,Brown,12,Intelligent,Dental problems
Irish Wolfhound,Ireland,Grey,30,Brown,6,Loyal,Dental problems
Italian Greyhound,Italy,Red,13,Brown,12,Intelligent,Dental problems
Jack Russell Terrier,England,White,10,Brown,12,Intelligent,Dental problems
Japanese Chin,Japan,Black,7,Brown,12,Intelligent,Dental problems
Keeshond,Netherlands,Black,17,Brown,12,Intelligent,Dental problems
Kerry Blue Terrier,Ireland,Blue,17,Brown,12,Intelligent,Dental problems
Kuvasz,Hungary,White,25,Brown,10,Loyal,Dental problems
Lhasa Apso,Tibet,Black,10,Brown,12,Intelligent,Dental problems
